date,Site,Characteristic,From_Range,To_Range,Average,Year
1/4/2015,Flic en Flac,pH,8.1,8.4,8.25,2015
1/2/2015,Trou aux Biches,pH,8.1,8.4,8.25,2015
1/3/2015,Mon Choisy,pH,7.9,8.4,8.15,2015
1/4/2015,Blue Bay,pH,7.9,8.5,8.2,2015
1/5/2015,Albion,pH,8,8.3,8.15,2015
1/6/2015,Pointe aux Sables,pH,8,8.5,8.25,2015
1/7/2015,Flic en Flac,Temperature,26,32,29,2015
1/8/2015,Trou aux Biches,Temperature,25,29.5,27.25,2015
1/9/2015,Mon Choisy,Temperature,25,29.3,27.15,2015
1/10/2015,Blue Bay,Temperature,24.5,31,27.75,2015
1/11/2015,Albion,Temperature,28,29.5,28.75,2015
1/12/2015,Pointe aux Sables,Temperature,27,31,29,2015
1/13/2015,Flic en Flac,Salinity,26.9,32.4,29.65,2015
1/14/2015,Trou aux Biches,Salinity,30,31.1,30.55,2015
1/15/2015,Mon Choisy,Salinity,29.2,32.5,30.85,2015
1/16/2015,Blue Bay,Salinity,9.1,33.1,21.1,2015
1/17/2015,Albion,Salinity,25.2,33.9,29.55,2015
1/18/2015,Pointe aux Sables,Salinity,26.3,30.6,28.45,2015
1/1/2016,Flic en Flac,pH,8.2,8.5,8.35,2016
1/2/2016,Trou aux Biches,pH,8.2,8.6,8.4,2016
1/3/2016,Mon Choisy,pH,8.2,8.4,8.3,2016
1/4/2016,Blue Bay,pH,8.1,8.4,8.25,2016
1/5/2016,Albion,pH,8,8.4,8.2,2016
1/6/2016,Pointe aux Sables,pH,8.2,8.6,8.4,2016
1/7/2016,Flic en Flac,Temperature,23.2,30.5,26.85,2016
1/8/2016,Trou aux Biches,Temperature,24,31,27.5,2016
1/9/2016,Mon Choisy,Temperature,23.5,31,27.25,2016
1/10/2016,Blue Bay,Temperature,24.6,29.1,26.85,2016
1/11/2016,Albion,Temperature,22,30.8,26.4,2016
1/12/2016,Pointe aux Sables,Temperature,32.4,35.4,33.9,2016
1/13/2016,Flic en Flac,Salinity,30.8,36.3,33.55,2016
1/14/2016,Trou aux Biches,Salinity,31.5,35.7,33.6,2016
1/15/2016,Mon Choisy,Salinity,32.7,36.6,34.65,2016
1/16/2016,Blue Bay,Salinity,17.5,36.5,27,2016
1/17/2016,Albion,Salinity,27,36.1,31.55,2016
1/18/2016,Pointe aux Sables,Salinity,24,33,28.5,2016
1/1/2017,Flic en Flac,pH,8.1,8.5,8.3,2017
1/2/2017,Trou aux Biches,pH,8.2,8.4,8.3,2017
1/3/2017,Mon Choisy,pH,8.1,8.4,8.25,2017
1/4/2017,Blue Bay,pH,8,8.4,8.2,2017
1/5/2017,Albion,pH,8.1,8.3,8.2,2017
1/6/2017,Pointe aux Sables,pH,8.1,8.6,8.35,2017
1/7/2017,Flic en Flac,Temperature,25,29.3,27.15,2017
1/8/2017,Trou aux Biches,Temperature,24.7,29.1,26.9,2017
1/9/2017,Mon Choisy,Temperature,23.8,29.5,26.65,2017
1/10/2017,Blue Bay,Temperature,24.7,31.1,27.9,2017
1/11/2017,Albion,Temperature,24.1,29.1,26.6,2017
1/12/2017,Pointe aux Sables,Temperature,24,29.3,26.65,2017
1/13/2017,Flic en Flac,Salinity,28.9,35.8,32.35,2017
